# Segmentos con repeticiones reales (críticas + altas): 72
# Escucha cada .wav para verificar si la repetición es fiel al audio

❌ [ 1] critical  67.8% (3x)
    Archivo: 10_CONSEJOS_PARA_SER_EL_MEJOR_ESTUDIANTE_DE_MEDICI.json  entry#14
    Audio:   /media/ttech-main/8464b39b-ba5b-49c5-9e05-010122b9874d/normalized/10_CONSEJOS_PARA_SER_EL_MEJOR_ESTUDIANTE_DE_MEDICI/seg_0014_SPK_00.wav
    Frase:   "estudiar, practicar, repetir. Lee..."
    Texto:   "estudiar, practicar, repetir. Leer, poner atención, estudiar, practicar, repetir. Leer, poner atención, estudiar, practi..."

❌ [ 2] critical  60.3% (3x)
    Archivo: C_mo_DEJAR_de_COMER_por_ANSIEDAD___-_Pamela_Berron.json  entry#216
    Audio:   /media/ttech-main/8464b39b-ba5b-49c5-9e05-010122b9874d/normalized/C_mo_DEJAR_de_COMER_por_ANSIEDAD___-_Pamela_Berron/seg_0216_SPK_01.wav
    Frase:   "no es lo mismo dos personas que tienen..."
    Texto:   "Porque no es lo mismo dos personas que tienen resistencia a la insulina, no es lo mismo dos personas que tienen diabetes..."

❌ [ 3] critical  59.1% (3x)
    Archivo: V__Completa__La_ciencia_de_la_vida_cotidiana__Dieg.json  entry#195
    Audio:   /media/ttech-main/8464b39b-ba5b-49c5-9e05-010122b9874d/normalized/V__Completa__La_ciencia_de_la_vida_cotidiana__Dieg/seg_0195_SPK_10.wav
    Frase:   "¿Cómo es el mundo para un..."
    Texto:   "¿Cómo es el mundo para un murciélago? ¿Cómo es el mundo para una bacteria? ¿Cómo es el mundo para una hormiga, para una ..."

❌ [ 4] critical  56.4% (3x)
    Archivo: GU_A_COMPLETA__INTELIGENCIA_ARTIFICIAL_para_EMPREN.json  entry#146
    Audio:   /media/ttech-main/8464b39b-ba5b-49c5-9e05-010122b9874d/normalized/GU_A_COMPLETA__INTELIGENCIA_ARTIFICIAL_para_EMPREN/seg_0146_SPK_00.wav
    Frase:   "lo efímero que pueden ser..."
    Texto:   "Pero también lo efímero que pueden ser los los excesos, lo efímero que pueden ser los logros, lo efímero que pueden ser ..."

❌ [ 5] critical  56.0% (3x)
    Archivo: Reuni_n_Privada_de_CEO_s__LATAM__Heineken__Prodac_.json  entry#224
    Audio:   /media/ttech-main/8464b39b-ba5b-49c5-9e05-010122b9874d/normalized/Reuni_n_Privada_de_CEO_s__LATAM__Heineken__Prodac_/seg_0224_SPK_06.wav
    Frase:   "que puede ser a través de..."
    Texto:   "que puede ser a través de un menor costo, que puede ser a través de más market share, que puede ser a través de una mejo..."

❌ [ 6] critical  55.8% (3x)
    Archivo: Nueva_Guia_Hipertension_Arterial_ESC_2024_AlDiaCon.json  entry#254
